id,country,is_domestic,province,city,county,foreign_city,description
1,中国,1,山东省,烟台市,蓬莱区,,中国葡萄酒重要产区，张裕等品牌所在地，适合做国产红酒示例
2,中国,1,宁夏回族自治区,银川市,永宁县,,贺兰山东麓葡萄酒产区，近年来中国优质葡萄酒代表产区
3,中国,1,河北省,张家口市,怀来县,,沙城/怀来葡萄产区，长城葡萄酒常见产区
4,中国,1,山西省,晋中市,太谷区,,怡园酒庄所在地，适合作为中国精品酒庄示例
5,法国,0,,,,Bordeaux,波尔多，法国最典型的红葡萄酒产区之一
6,法国,0,,,,Pauillac,波尔多左岸名村，拉菲、木桐等名庄所在地
7,法国,0,,,,Beaune,勃艮第核心城市，黑皮诺和霞多丽代表产区
8,法国,0,,,,Épernay,香槟区重要城市，适合起泡酒示例
9,意大利,0,,,,Montalcino,托斯卡纳布鲁奈罗产区，桑娇维塞代表产区
10,意大利,0,,,,Barolo,皮埃蒙特巴罗洛产区，内比奥罗代表产区
11,西班牙,0,,,,Logroño,里奥哈产区核心城市之一，丹魄葡萄代表产区
12,美国,0,,,,Napa,纳帕谷，美国赤霞珠代表产区
13,美国,0,,,,Sonoma,索诺玛，美国黑皮诺和霞多丽常见产区
14,澳大利亚,0,,,,Adelaide,南澳核心城市，奔富等品牌常见产区
15,智利,0,,,,Santiago,智利中央山谷/迈坡谷销售中常见标注城市
16,阿根廷,0,,,,Mendoza,门多萨，阿根廷马尔贝克代表产区
17,葡萄牙,0,,,,Porto,波特酒贸易与加烈酒代表城市
18,新西兰,0,,,,Marlborough,马尔堡，长相思代表产区
